1,상품명,기간,기본금리
410,독도사랑예금,4개월,2.65
411,독도사랑예금,5개월,2.65
412,독도사랑예금,6개월,2.85
413,독도사랑예금,7개월,2.85
414,독도사랑예금,8개월,2.85
415,독도사랑예금,9개월,2.85
416,독도사랑예금,10개월,2.85
417,독도사랑예금,11개월,2.85
418,독도사랑예금,12개월,3.15
419,사랑해정기예금(실세금리정기예금),1개월,2.55
420,사랑해정기예금(실세금리정기예금),2개월,2.55
421,사랑해정기예금(실세금리정기예금),3개월,2.65
422,사랑해정기예금(실세금리정기예금),4개월,2.65
423,사랑해정기예금(실세금리정기예금),5개월,2.65
424,사랑해정기예금(실세금리정기예금),6개월,2.85
425,사랑해정기예금(실세금리정기예금),7개월,2.85
426,사랑해정기예금(실세금리정기예금),8개월,2.85
427,사랑해정기예금(실세금리정기예금),9개월,2.85
428,사랑해정기예금(실세금리정기예금),10개월,2.85
429,사랑해정기예금(실세금리정기예금),11개월,2.85
430,사랑해정기예금(실세금리정기예금),12개월,3.15
431,실세금리정기예금,3개월,3.34
432,실세금리정기예금,6개월,3.44
433,실세금리정기예금,12개월,3.53
434,어촌복지예금 (거치식예금),1개월,2.55
435,어촌복지예금 (거치식예금),2개월,2.55
436,어촌복지예금 (거치식예금),3개월,2.65
437,어촌복지예금 (거치식예금),4개월,2.65
438,어촌복지예금 (거치식예금),5개월,2.65
439,어촌복지예금 (거치식예금),6개월,2.85
440,어촌복지예금 (거치식예금),7개월,2.85
441,어촌복지예금 (거치식예금),8개월,2.85
442,어촌복지예금 (거치식예금),9개월,2.85
443,어촌복지예금 (거치식예금),10개월,2.85
444,어촌복지예금 (거치식예금),11개월,2.85
445,어촌복지예금 (거치식예금),12개월,3.15
446,제주DREAM 정기예금,1개월,2.6
447,제주DREAM 정기예금,2개월,2.6
448,제주DREAM 정기예금,3개월,2.7
449,제주DREAM 정기예금,4개월,2.7
450,제주DREAM 정기예금,5개월,2.7
451,제주DREAM 정기예금,6개월,2.85
452,제주DREAM 정기예금,7개월,2.85
453,제주DREAM 정기예금,8개월,2.85
454,제주DREAM 정기예금,9개월,2.85
455,제주DREAM 정기예금,10개월,2.85
456,제주DREAM 정기예금,11개월,2.85
457,제주DREAM 정기예금,12개월,3.05
458,NH더하고나눔정기예금,1개월,2.7
459,NH더하고나눔정기예금,2개월,2.7
460,NH더하고나눔정기예금,3개월,2.75
461,NH더하고나눔정기예금,4개월,2.75
462,NH더하고나눔정기예금,5개월,2.75
463,NH더하고나눔정기예금,6개월,2.9
464,NH더하고나눔정기예금,7개월,2.9
465,NH더하고나눔정기예금,8개월,2.9
466,NH더하고나눔정기예금,9개월,2.9
467,NH더하고나눔정기예금,10개월,2.9
468,NH더하고나눔정기예금,11개월,2.9
469,NH더하고나눔정기예금,12개월,3.1
470,미래설계 장기플랜 연금예금,12개월,3.1
471,미래설계 크레바스 연금예금,12개월,3.1
472,플러스정기예금,1개월,1.7
473,플러스정기예금,2개월,1.7
474,플러스정기예금,3개월,1.85
475,플러스정기예금,4개월,1.85
476,플러스정기예금,5개월,1.85
477,플러스정기예금,6개월,2.45
478,플러스정기예금,7개월,2.45
479,플러스정기예금,8개월,2.45
480,플러스정기예금,9개월,2.45
481,플러스정기예금,10개월,2.45
482,플러스정기예금,11개월,2.45
483,플러스정기예금,12개월,3.1
484,마니마니정기예금,1개월,2.5
485,마니마니정기예금,2개월,2.5
486,마니마니정기예금,3개월,2.65
487,마니마니정기예금,4개월,2.65
488,마니마니정기예금,5개월,2.65
489,마니마니정기예금,6개월,2.75
490,마니마니정기예금,7개월,2.75
491,마니마니정기예금,8개월,2.75
492,마니마니정기예금,9개월,2.8
493,마니마니정기예금,10개월,2.8
494,마니마니정기예금,11개월,2.8
495,마니마니정기예금,12개월,3.05
496,퍼스트정기예금,1개월,2.6
497,퍼스트정기예금,2개월,2.6
498,퍼스트정기예금,3개월,2.75
499,퍼스트정기예금,4개월,2.75
500,퍼스트정기예금,5개월,2.75
501,퍼스트정기예금,6개월,2.85
502,퍼스트정기예금,7개월,2.85
503,퍼스트정기예금,8개월,2.85
504,퍼스트정기예금,9개월,2.85
505,퍼스트정기예금,10개월,2.85
506,퍼스트정기예금,11개월,2.85
507,퍼스트정기예금,12개월,3
508,KB국민UP정기예금,12개월,2.9
509,정기예금1,1개월,1.1
510,정기예금1,2개월,1.1
511,정기예금1,3개월,1.2
512,정기예금1,4개월,1.2
513,정기예금1,5개월,1.2
514,정기예금1,6개월,3.5
515,정기예금1,7개월,3.5
516,정기예금1,8개월,3.5
517,정기예금1,9개월,3.5
518,정기예금1,10개월,3.5
519,정기예금1,11개월,3.5
520,정기예금1,12개월,4.1
521,우리 SUPER 정기예금,1개월,2.75
522,우리 SUPER 정기예금,2개월,2.75
523,우리 SUPER 정기예금,3개월,2.9
524,우리 SUPER 정기예금,4개월,2.9
525,우리 SUPER 정기예금,5개월,2.9
526,우리 SUPER 정기예금,6개월,2.95
527,우리 SUPER 정기예금,7개월,2.95
528,우리 SUPER 정기예금,8개월,2.95
529,우리 SUPER 정기예금,9개월,2.95
530,우리 SUPER 정기예금,10개월,2.95
531,우리 SUPER 정기예금,11개월,2.95
532,우리 SUPER 정기예금,12개월,3
533,맞춤형 자유만기 정기예금,6개월,2.6
534,맞춤형 자유만기 정기예금,7개월,2.6
535,맞춤형 자유만기 정기예금,8개월,2.6
536,맞춤형 자유만기 정기예금,9개월,2.6
537,맞춤형 자유만기 정기예금,10개월,2.6
538,맞춤형 자유만기 정기예금,11개월,2.6
539,맞춤형 자유만기 정기예금,12개월,2.9
540,장기회전정기예금,12개월,2.95
541,정기예금2,1개월,2.7
542,정기예금2,2개월,2.7
543,정기예금2,3개월,2.75
544,정기예금2,4개월,2.75
545,정기예금2,5개월,2.75
546,정기예금2,6개월,2.9
547,정기예금2,7개월,2.9
548,정기예금2,8개월,2.9
549,정기예금2,9개월,2.9
550,정기예금2,10개월,2.9
551,정기예금2,11개월,2.9
552,정기예금2,12개월,3.1
553,정기예금3,1개월,2.6
554,정기예금3,2개월,2.6
555,정기예금3,3개월,2.7
556,정기예금3,4개월,2.7
557,정기예금3,5개월,2.7
558,정기예금3,6개월,2.85
559,정기예금3,7개월,2.85
560,정기예금3,8개월,2.85
561,정기예금3,9개월,2.85
562,정기예금3,10개월,2.85
563,정기예금3,11개월,2.85
564,정기예금3,12개월,3.05
565,초장기회전예금,12개월,2.95
566,JB FUN 세이브 통장,12개월,2.9
567,JB회전정기예금,12개월,2.9
568,시장금리부 정기예금,1개월,2.1
569,시장금리부 정기예금,2개월,2.1
570,시장금리부 정기예금,3개월,2.4
571,시장금리부 정기예금,4개월,2.4
572,시장금리부 정기예금,5개월,2.4
573,시장금리부 정기예금,6개월,2.6
574,시장금리부 정기예금,7개월,2.6
575,시장금리부 정기예금,8개월,2.6
576,시장금리부 정기예금,9개월,2.6
577,시장금리부 정기예금,10개월,2.6
578,시장금리부 정기예금,11개월,2.6
579,시장금리부 정기예금,12개월,2.9
580,신한 S드림 정기예금,1개월,2.15
581,신한 S드림 정기예금,2개월,2.15
582,신한 S드림 정기예금,3개월,2.45
583,신한 S드림 정기예금,4개월,2.45
584,신한 S드림 정기예금,5개월,2.45
585,신한 S드림 정기예금,6개월,2.75
586,신한 S드림 정기예금,7개월,2.75
587,신한 S드림 정기예금,8개월,2.75
588,신한 S드림 정기예금,9개월,2.75
589,신한 S드림 정기예금,10개월,2.75
590,신한 S드림 정기예금,11개월,2.75
591,신한 S드림 정기예금,12개월,2.9
